Serial.no,Century,Region,Level,Sub_level,Records,data_type,data_source,material,Proxy,Record,Variable,Avg,abs_4_negative,log,z_score_cal,Mean,Mean_n,sd_100,Latitude,Longitude,Elevation..m.,Zone,Group,abs_4_log_R,log_value_R,z_score_R,exp_log_R,sub_zone,,,
41,1000,Tatra region,Land,Land surface temperature,Temp_anom..May.June.,Proxy,Tree,Tree ring,Tree-rings,Tree ring,Temp,-1.3785,1.5334,0.185655459,0.831915743,0.066087488,0.066087488,0.743595992,49.5,20,,Mid-Latitude,30,1.5334,0.427487492,0.720460167,1.5334,East,,,
42,1100,Tatra region,Land,Land surface temperature,Temp_anom..May.June.,Proxy,Tree,Tree ring,Tree-rings,Tree ring,Temp,-1.3332,1.5787,0.198299609,0.989980255,0.168824728,0.168824728,0.76663884,49.5,20,,Mid-Latitude,30,1.5787,0.456601724,0.85734805,1.5787,East,,,
43,1200,Tatra region,Land,Land surface temperature,Temp_anom..May.June.,Proxy,Tree,Tree ring,Tree-rings,Tree ring,Temp,-1.6746,1.2373,0.092475013,-0.332932958,-0.605446661,-0.605446661,0.741644937,49.5,20,,Mid-Latitude,30,1.2373,0.212931586,-0.288328399,1.2373,East,,,
44,1300,Tatra region,Land,Land surface temperature,Temp_anom..May.June.,Proxy,Tree,Tree ring,Tree-rings,Tree ring,Temp,-1.9119,1,9.64E-17,-1.48896304,-1.143626511,-1.143626511,0.756136772,49.5,20,,Mid-Latitude,30,1,2.22E-16,-1.289479818,1,East,,,
45,900,Forfjorddalen,Atm,Air temperature,d13C..Summer.,Proxy,Tree,Tree ring,Tree-rings,d13C,Temp,-24.288,1.415,-0.15075644,-0.861607962,0.874041638,-0.86477603,0.433353846,68.8,15.733333,,High-Latitude,4,1.415,-0.347129531,-0.770645589,0.706713781,West,,,
46,1000,Forfjorddalen,Atm,Air temperature,d13C..Summer.,Proxy,Tree,Tree ring,Tree-rings,d13C,Temp,-24.5933,1.1097,-0.045205586,0.797920405,-0.241763974,0.843181804,0.472795373,68.8,15.733333,,High-Latitude,4,1.1097,-0.104089709,0.713681707,0.901144453,West,,,
47,1100,Forfjorddalen,Atm,Air temperature,d13C..Summer.,Proxy,Tree,Tree ring,Tree-rings,d13C,Temp,-24.2355,1.4675,-0.16657811,-1.110364929,1.065917808,-1.158479882,0.478179154,68.8,15.733333,,High-Latitude,4,1.4675,-0.383560273,-0.993140584,0.681431005,West,,,
48,1200,Forfjorddalen,Atm,Air temperature,d13C..Summer.,Proxy,Tree,Tree ring,Tree-rings,d13C,Temp,-24.3931,1.3099,-0.117238142,-0.334614917,0.48992382,-0.276808888,0.411409735,68.8,15.733333,,High-Latitude,4,1.3099,-0.269950798,-0.29928868,0.763417055,West,,,
49,1300,Forfjorddalen,Atm,Air temperature,d13C..Summer.,Proxy,Tree,Tree ring,Tree-rings,d13C,Temp,-24.703,1,0,1.508667402,-0.642693799,1.456882997,0.49690456,68.8,15.733333,,High-Latitude,4,1,0,1.349393146,1,West,,,
50,900,Torneträsk,Atm,Air temperature,d13Ccell,Proxy,Tree,Tree ring,Tree-rings,d13C,Temp,-23.9758,1.1302,-0.053155303,-0.578017046,0.681961426,-0.550933932,0.436825509,68.2,19.8,,High-Latitude,32,1.1302,-0.122394608,-0.516994163,0.884799151,East,,,
